feature_id,version,release_date,feature_name,category,group_id,subgroup_id,engineer_id,models,hardware,description,dev_start_date,feature_complete_date,release_complete_date,lifecycle_status,hw_requirement
F0016,2023.12,"April 10, 2023",Speedometer Font,Undocumented Change,3,303,E09,,"HW3,HW4",,2023-02-15,2023-03-30,2023-04-10,released,"HW3,HW4"
F0017,2023.12,"April 10, 2023",Nav Improvements,Undocumented Change,4,403,E05,,"HW3,HW4",,2023-02-14,2023-04-02,2023-04-10,released,"HW3,HW4"
F0018,2023.12,"April 10, 2023",Favoriting Songs,Undocumented Change,5,501,E10,,"HW3,HW4",,2023-02-20,2023-03-29,2023-04-10,released,"HW3,HW4"
F0019,2023.12,"April 10, 2023",Adjust Wiper Speed,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-02-22,2023-03-31,2023-04-10,released,"HW3,HW4"
F0020,2023.12,"April 10, 2023",Air Suspension,Undocumented Change,7,702,E08,,"HW3,HW4",,2023-02-18,2023-04-01,2023-04-10,released,"HW3,HW4"
F0021,2023.12,"April 10, 2023",Tesla Theater Icons,Undocumented Change,5,502,E10,,"HW3,HW4",,2023-02-25,2023-03-27,2023-04-10,released,"HW3,HW4"
F0022,2023.12,"April 10, 2023",App Drawer,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-02-13,2023-03-31,2023-04-10,released,"HW3,HW4"
F0023,2023.12,"April 10, 2023",New Labels,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-02-24,2023-04-03,2023-04-10,released,"HW3,HW4"
F0024,2023.12,"April 10, 2023",Charging Screen,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-02-23,2023-04-02,2023-04-10,released,"HW3,HW4"
F0025,2023.12.10,"May 23, 2023",Full Self-Driving (Beta),New Feature,1,104,E02,,"HW3,HW4",,2023-04-08,2023-05-09,2023-05-23,released,"HW3,HW4"
F0026,2023.12.10,"May 23, 2023",FSD Beta v11.3.6,New Feature,1,104,E01,,"HW3,HW4",,2023-04-09,2023-05-12,2023-05-23,released,"HW3,HW4"
F0027,2023.12.10,"May 23, 2023",Over-the-Air (OTA) Recall,New Feature,3,302,E04,,"HW3,HW4",,2023-03-31,2023-05-12,2023-05-23,released,"HW3,HW4"
F0028,2023.12.10,"May 23, 2023",Driving Visualization Improvements,New Feature,3,302,E04,,"HW3,HW4",,2023-03-28,2023-05-10,2023-05-23,released,"HW3,HW4"
F0029,2023.12.10,"May 23, 2023",Full Self-Driving (Beta) Suspension,New Feature,1,104,E02,,"HW3,HW4",,2023-04-09,2023-05-09,2023-05-23,released,"HW3,HW4"
F0030,2023.12.10,"May 23, 2023",Park Assist,New Feature,1,103,E01,,"HW3,HW4",,2023-03-29,2023-05-15,2023-05-23,released,"HW3,HW4"
F0031,2023.12.10,"May 23, 2023",Phone Call Controls,New Feature,6,602,E06,,"HW3,HW4",,2023-03-30,2023-05-10,2023-05-23,released,"HW3,HW4"
F0032,2023.12.10,"May 23, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-04-05,2023-05-10,2023-05-23,released,"HW3,HW4"
F0033,2023.12.10,"May 23, 2023",Scroll Wheel Customization,New Feature,3,302,E04,,"HW3,HW4",,2023-04-03,2023-05-12,2023-05-23,released,"HW3,HW4"
F0034,2023.12.10,"May 23, 2023",Controls Search,New Feature,3,302,E04,,"HW3,HW4",,2023-04-01,2023-05-15,2023-05-23,released,"HW3,HW4"
F0035,2023.12.10,"May 23, 2023",Gear Chimes,New Feature,3,302,E04,,"HW3,HW4",,2023-03-30,2023-05-11,2023-05-23,released,"HW3,HW4"
F0036,2023.12.10,"May 23, 2023",Passenger Seat Controls,New Feature,3,302,E04,,"HW3,HW4",,2023-04-05,2023-05-14,2023-05-23,released,"HW3,HW4"
F0037,2023.12.10,"May 23, 2023",Points of Interest,New Feature,4,403,E05,,"HW3,HW4",,2023-03-31,2023-05-12,2023-05-23,released,"HW3,HW4"
F0038,2023.12.10,"May 23, 2023",Voice Recognition Language,New Feature,6,601,E06,,"HW3,HW4",,2023-04-03,2023-05-15,2023-05-23,released,"HW3,HW4"
F0039,2023.12.10,"May 23, 2023",Get to Know Your Tesla,New Feature,3,302,E04,,"HW3,HW4",,2023-03-29,2023-05-13,2023-05-23,released,"HW3,HW4"
F0040,2023.12.10,"May 23, 2023",Rename Vehicle in App,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-30,2023-05-14,2023-05-23,released,"HW3,HW4"
F0041,2023.12.10,"May 23, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,2,203,E07,,"HW3,HW4",,2023-04-02,2023-05-11,2023-05-23,released,"HW3,HW4"
F0042,2023.12.10,"May 23, 2023",Parked Visualization,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-10,2023-05-11,2023-05-23,released,"HW3,HW4"
F0043,2023.12.10,"May 23, 2023",Speedometer Font,Undocumented Change,3,303,E09,,"HW3,HW4",,2023-04-11,2023-05-13,2023-05-23,released,"HW3,HW4"
F0044,2023.12.10,"May 23, 2023",Nav Improvements,Undocumented Change,4,403,E05,,"HW3,HW4",,2023-04-10,2023-05-09,2023-05-23,released,"HW3,HW4"
F0045,2023.12.10,"May 23, 2023",Favoriting Songs,Undocumented Change,5,501,E10,,"HW3,HW4",,2023-04-09,2023-05-09,2023-05-23,released,"HW3,HW4"
F0046,2023.12.10,"May 23, 2023",Adjust Wiper Speed,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-07,2023-05-10,2023-05-23,released,"HW3,HW4"
F0047,2023.12.10,"May 23, 2023",Air Suspension,Undocumented Change,7,702,E08,,"HW3,HW4",,2023-03-31,2023-05-12,2023-05-23,released,"HW3,HW4"
F0048,2023.12.10,"May 23, 2023",Tesla Theater Icons,Undocumented Change,5,502,E10,,"HW3,HW4",,2023-04-04,2023-05-09,2023-05-23,released,"HW3,HW4"
F0049,2023.12.10,"May 23, 2023",App Drawer,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-08,2023-05-15,2023-05-23,released,"HW3,HW4"
F0050,2023.12.10,"May 23, 2023",New Labels,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-02,2023-05-13,2023-05-23,released,"HW3,HW4"
F0051,2023.12.10,"May 23, 2023",Charging Screen,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-11,2023-05-15,2023-05-23,released,"HW3,HW4"
F0052,2023.12.8,"May 5, 2023",Refresh Your Data Sharing Settings,New Feature,3,302,E04,,"HW3,HW4",,2023-03-21,2023-04-27,2023-05-05,released,"HW3,HW4"
F0053,2023.12.8,"May 5, 2023",Regenerative Braking,New Feature,3,302,E04,,"HW3,HW4",,2023-03-23,2023-04-25,2023-05-05,released,"HW3,HW4"
F0054,2023.12.8,"May 5, 2023",Power Meter,New Feature,3,302,E04,,"HW3,HW4",,2023-03-21,2023-04-26,2023-05-05,released,"HW3,HW4"
F0055,2023.12.8,"May 5, 2023",Track Mode,New Feature,3,302,E04,,"HW3,HW4",,2023-03-21,2023-04-21,2023-05-05,released,"HW3,HW4"
F0056,2023.12.8,"May 5, 2023",Phone Call Controls,New Feature,6,602,E06,,"HW3,HW4",,2023-03-23,2023-04-27,2023-05-05,released,"HW3,HW4"
F0057,2023.12.8,"May 5, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-03-18,2023-04-22,2023-05-05,released,"HW3,HW4"
F0058,2023.12.8,"May 5, 2023",Scroll Wheel Customization,New Feature,3,302,E04,,"HW3,HW4",,2023-03-14,2023-04-27,2023-05-05,released,"HW3,HW4"
F0059,2023.12.8,"May 5, 2023",Controls Search,New Feature,3,302,E04,,"HW3,HW4",,2023-03-13,2023-04-23,2023-05-05,released,"HW3,HW4"
F0060,2023.12.8,"May 5, 2023",Gear Chimes,New Feature,3,302,E04,,"HW3,HW4",,2023-03-21,2023-04-25,2023-05-05,released,"HW3,HW4"
F0061,2023.12.8,"May 5, 2023",Passenger Seat Controls,New Feature,3,302,E04,,"HW3,HW4",,2023-03-22,2023-04-22,2023-05-05,released,"HW3,HW4"
F0062,2023.12.8,"May 5, 2023",Points of Interest,New Feature,4,403,E05,,"HW3,HW4",,2023-03-17,2023-04-25,2023-05-05,released,"HW3,HW4"
F0063,2023.12.8,"May 5, 2023",Voice Recognition Language,New Feature,6,601,E06,,"HW3,HW4",,2023-03-12,2023-04-27,2023-05-05,released,"HW3,HW4"
F0064,2023.12.8,"May 5, 2023",Speed Assist,New Feature,1,101,E02,,"HW3,HW4",,2023-03-23,2023-04-25,2023-05-05,released,"HW3,HW4"
F0065,2023.12.8,"May 5, 2023",Zoom Meetings,New Feature,6,602,E06,,"HW3,HW4",,2023-03-17,2023-04-21,2023-05-05,released,"HW3,HW4"
F0066,2023.12.8,"May 5, 2023",Get to Know Your Tesla,New Feature,3,302,E04,,"HW3,HW4",,2023-03-10,2023-04-28,2023-05-05,released,"HW3,HW4"
F0067,2023.12.8,"May 5, 2023",Handwriting,New Feature,6,601,E06,,"HW3,HW4",,2023-03-24,2023-04-22,2023-05-05,released,"HW3,HW4"
F0068,2023.12.8,"May 5, 2023",Rename Vehicle in App,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-20,2023-04-22,2023-05-05,released,"HW3,HW4"
F0069,2023.12.8,"May 5, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,2,203,E03,,"HW3,HW4",,2023-03-22,2023-04-25,2023-05-05,released,"HW3,HW4"
F0070,2023.12.8,"May 5, 2023",Parked Visualization,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-24,2023-04-28,2023-05-05,released,"HW3,HW4"
F0071,2023.12.8,"May 5, 2023",Speedometer Font,Undocumented Change,3,303,E09,,"HW3,HW4",,2023-03-24,2023-04-21,2023-05-05,released,"HW3,HW4"
F0072,2023.12.8,"May 5, 2023",Nav Improvements,Undocumented Change,4,403,E05,,"HW3,HW4",,2023-03-24,2023-04-27,2023-05-05,released,"HW3,HW4"
F0073,2023.12.8,"May 5, 2023",Favoriting Songs,Undocumented Change,5,501,E10,,"HW3,HW4",,2023-03-15,2023-04-27,2023-05-05,released,"HW3,HW4"
F0074,2023.12.8,"May 5, 2023",Adjust Wiper Speed,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-23,2023-04-25,2023-05-05,released,"HW3,HW4"
F0075,2023.12.8,"May 5, 2023",Air Suspension,Undocumented Change,7,702,E08,,"HW3,HW4",,2023-03-15,2023-04-27,2023-05-05,released,"HW3,HW4"
F0076,2023.12.8,"May 5, 2023",Tesla Theater Icons,Undocumented Change,5,502,E10,,"HW3,HW4",,2023-03-10,2023-04-24,2023-05-05,released,"HW3,HW4"
F0077,2023.12.8,"May 5, 2023",App Drawer,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-21,2023-04-24,2023-05-05,released,"HW3,HW4"
F0078,2023.12.8,"May 5, 2023",New Labels,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-14,2023-04-24,2023-05-05,released,"HW3,HW4"
F0079,2023.12.8,"May 5, 2023",Charging Screen,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-10,2023-04-27,2023-05-05,released,"HW3,HW4"
F0080,2023.12.9,"May 12, 2023",Autopilot Features,New Feature,1,102,E01,,"HW3,HW4",,2023-03-22,2023-05-04,2023-05-12,released,"HW3,HW4"
F0081,2023.12.9,"May 12, 2023",Stopping Mode,New Feature,1,101,E02,,"HW3,HW4",,2023-03-23,2023-05-01,2023-05-12,released,"HW3,HW4"
F0082,2023.12.9,"May 12, 2023",Refresh Your Data Sharing Settings,New Feature,3,302,E04,,"HW3,HW4",,2023-03-17,2023-05-04,2023-05-12,released,"HW3,HW4"
F0083,2023.12.9,"May 12, 2023",Regenerative Braking,New Feature,3,302,E04,,"HW3,HW4",,2023-03-27,2023-05-03,2023-05-12,released,"HW3,HW4"
F0084,2023.12.9,"May 12, 2023",Power Meter,New Feature,3,302,E04,,"HW3,HW4",,2023-03-22,2023-05-05,2023-05-12,released,"HW3,HW4"
F0085,2023.12.9,"May 12, 2023",Track Mode,New Feature,3,302,E04,,"HW3,HW4",,2023-03-17,2023-05-04,2023-05-12,released,"HW3,HW4"
F0086,2023.12.9,"May 12, 2023",Phone Call Controls,New Feature,6,602,E06,,"HW3,HW4",,2023-03-30,2023-05-04,2023-05-12,released,"HW3,HW4"
F0087,2023.12.9,"May 12, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-03-27,2023-05-01,2023-05-12,released,"HW3,HW4"
F0088,2023.12.9,"May 12, 2023",Scroll Wheel Customization,New Feature,3,302,E04,,"HW3,HW4",,2023-03-20,2023-04-30,2023-05-12,released,"HW3,HW4"
F0089,2023.12.9,"May 12, 2023",Controls Search,New Feature,3,302,E04,,"HW3,HW4",,2023-03-23,2023-04-28,2023-05-12,released,"HW3,HW4"
F0090,2023.12.9,"May 12, 2023",Gear Chimes,New Feature,3,302,E04,,"HW3,HW4",,2023-03-30,2023-04-29,2023-05-12,released,"HW3,HW4"
F0091,2023.12.9,"May 12, 2023",Passenger Seat Controls,New Feature,3,302,E04,,"HW3,HW4",,2023-03-31,2023-04-30,2023-05-12,released,"HW3,HW4"
F0092,2023.12.9,"May 12, 2023",Points of Interest,New Feature,4,403,E05,,"HW3,HW4",,2023-03-29,2023-04-28,2023-05-12,released,"HW3,HW4"
F0093,2023.12.9,"May 12, 2023",Voice Recognition Language,New Feature,6,601,E06,,"HW3,HW4",,2023-03-23,2023-05-05,2023-05-12,released,"HW3,HW4"
F0094,2023.12.9,"May 12, 2023",Speed Assist,New Feature,1,101,E01,,"HW3,HW4",,2023-03-17,2023-05-03,2023-05-12,released,"HW3,HW4"
F0095,2023.12.9,"May 12, 2023",Zoom Meetings,New Feature,6,602,E06,,"HW3,HW4",,2023-03-18,2023-04-30,2023-05-12,released,"HW3,HW4"
F0096,2023.12.9,"May 12, 2023",Get to Know Your Tesla,New Feature,3,302,E04,,"HW3,HW4",,2023-03-25,2023-05-03,2023-05-12,released,"HW3,HW4"
F0097,2023.12.9,"May 12, 2023",Handwriting,New Feature,6,601,E06,,"HW3,HW4",,2023-03-26,2023-05-05,2023-05-12,released,"HW3,HW4"
F0098,2023.12.9,"May 12, 2023",Rename Vehicle in App,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-21,2023-05-02,2023-05-12,released,"HW3,HW4"
F0099,2023.12.9,"May 12, 2023",Improvements to Automatic Emergency Braking,Undocumented Change,2,203,E07,,"HW3,HW4",,2023-03-19,2023-04-29,2023-05-12,released,"HW3,HW4"
F0100,2023.12.9,"May 12, 2023",Parked Visualization,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-17,2023-05-02,2023-05-12,released,"HW3,HW4"
F0101,2023.12.9,"May 12, 2023",Speedometer Font,Undocumented Change,3,303,E09,,"HW3,HW4",,2023-03-17,2023-04-29,2023-05-12,released,"HW3,HW4"
F0102,2023.12.9,"May 12, 2023",Nav Improvements,Undocumented Change,4,403,E05,,"HW3,HW4",,2023-03-20,2023-04-30,2023-05-12,released,"HW3,HW4"
F0103,2023.12.9,"May 12, 2023",Favoriting Songs,Undocumented Change,5,501,E10,,"HW3,HW4",,2023-03-27,2023-05-03,2023-05-12,released,"HW3,HW4"
F0104,2023.12.9,"May 12, 2023",Adjust Wiper Speed,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-18,2023-05-05,2023-05-12,released,"HW3,HW4"
F0105,2023.12.9,"May 12, 2023",Air Suspension,Undocumented Change,7,702,E08,,"HW3,HW4",,2023-03-28,2023-04-28,2023-05-12,released,"HW3,HW4"
F0106,2023.12.9,"May 12, 2023",Tesla Theater Icons,Undocumented Change,5,502,E10,,"HW3,HW4",,2023-03-18,2023-05-02,2023-05-12,released,"HW3,HW4"
F0107,2023.12.9,"May 12, 2023",App Drawer,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-21,2023-05-02,2023-05-12,released,"HW3,HW4"
F0108,2023.12.9,"May 12, 2023",New Labels,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-27,2023-05-04,2023-05-12,released,"HW3,HW4"
F0109,2023.12.9,"May 12, 2023",Charging Screen,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-03-21,2023-04-29,2023-05-12,released,"HW3,HW4"
F0110,2023.2.0.5,"January 25, 2023",Auto Steering Wheel Heat,New Feature,3,302,E04,,"HW3,HW4",,2022-12-14,2023-01-17,2023-01-25,released,"HW3,HW4"
F0111,2023.2.0.5,"January 25, 2023",Sentry Mode Lighting,New Feature,2,201,E03,,"HW3,HW4",,2022-12-05,2023-01-14,2023-01-25,released,"HW3,HW4"
F0112,2023.2.0.5,"January 25, 2023",Speed Assist,New Feature,1,101,E02,,"HW3,HW4",,2022-12-05,2023-01-12,2023-01-25,released,"HW3,HW4"
F0113,2023.2.0.5,"January 25, 2023",Thai Voice Navigation,New Feature,6,601,E06,,"HW3,HW4",,2022-12-08,2023-01-17,2023-01-25,released,"HW3,HW4"
F0114,2023.2.0.5,"January 25, 2023",Handwriting Keyboard,New Feature,6,601,E06,,"HW3,HW4",,2022-12-10,2023-01-18,2023-01-25,released,"HW3,HW4"
F0115,2023.2.0.5,"January 25, 2023",WeChat Mini Programs,New Feature,6,602,E06,,"HW3,HW4",,2022-12-06,2023-01-15,2023-01-25,released,"HW3,HW4"
F0116,2023.2.0.5,"January 25, 2023",Mango TV,New Feature,5,502,E10,,"HW3,HW4",,2022-12-13,2023-01-13,2023-01-25,released,"HW3,HW4"
F0117,2023.2.0.5,"January 25, 2023",Improvements to Service Mode,Undocumented Change,3,302,E04,,"HW3,HW4",,2022-12-04,2023-01-17,2023-01-25,released,"HW3,HW4"
F0118,2023.2.0.5,"January 25, 2023",Supercharger Prices,Undocumented Change,4,401,E05,,"HW3,HW4",,2022-12-04,2023-01-12,2023-01-25,released,"HW3,HW4"
F0119,2023.2.0.5,"January 25, 2023",View Cabin Camera,Undocumented Change,2,201,E07,,"HW3,HW4",,2022-12-03,2023-01-14,2023-01-25,released,"HW3,HW4"
F0120,2023.2.0.5,"January 25, 2023",Seat Heater Icons,Undocumented Change,3,303,E09,,"HW3,HW4",,2022-12-11,2023-01-12,2023-01-25,released,"HW3,HW4"
F0121,2023.2.0.5,"January 25, 2023",Suspension Menu,Undocumented Change,7,702,E08,,"HW3,HW4",,2022-12-05,2023-01-14,2023-01-25,released,"HW3,HW4"
F0122,2023.2.10,"January 28, 2023",Auto Steering Wheel Heat,New Feature,3,302,E04,,"HW3,HW4",,2022-12-13,2023-01-17,2023-01-28,released,"HW3,HW4"
F0123,2023.2.10,"January 28, 2023",Sentry Mode Lighting,New Feature,2,201,E03,,"HW3,HW4",,2022-12-05,2023-01-16,2023-01-28,released,"HW3,HW4"
F0124,2023.2.10,"January 28, 2023",Speed Assist,New Feature,1,101,E01,,"HW3,HW4",,2022-12-10,2023-01-18,2023-01-28,released,"HW3,HW4"
F0125,2023.2.10,"January 28, 2023",Mahjong,New Feature,5,502,E10,,"HW3,HW4",,2022-12-05,2023-01-19,2023-01-28,released,"HW3,HW4"
F0126,2023.2.10,"January 28, 2023",Thai Voice Navigation,New Feature,6,601,E06,,"HW3,HW4",,2022-12-09,2023-01-16,2023-01-28,released,"HW3,HW4"
F0127,2023.2.10,"January 28, 2023",Handwriting Keyboard,New Feature,6,601,E06,,"HW3,HW4",,2022-12-07,2023-01-17,2023-01-28,released,"HW3,HW4"
F0128,2023.2.10,"January 28, 2023",WeChat Mini Programs,New Feature,6,602,E06,,"HW3,HW4",,2022-12-15,2023-01-21,2023-01-28,released,"HW3,HW4"
F0129,2023.2.10,"January 28, 2023",Mango TV,New Feature,5,502,E10,,"HW3,HW4",,2022-12-10,2023-01-20,2023-01-28,released,"HW3,HW4"
F0130,2023.2.10,"January 28, 2023",Improvements to Service Mode,Undocumented Change,3,302,E04,,"HW3,HW4",,2022-12-03,2023-01-18,2023-01-28,released,"HW3,HW4"
F0131,2023.2.10,"January 28, 2023",Supercharger Prices,Undocumented Change,4,401,E05,,"HW3,HW4",,2022-12-11,2023-01-18,2023-01-28,released,"HW3,HW4"
F0132,2023.2.10,"January 28, 2023",View Cabin Camera,Undocumented Change,2,201,E07,,"HW3,HW4",,2022-12-03,2023-01-20,2023-01-28,released,"HW3,HW4"
F0133,2023.2.10,"January 28, 2023",Seat Heater Icons,Undocumented Change,3,303,E09,,"HW3,HW4",,2022-12-15,2023-01-14,2023-01-28,released,"HW3,HW4"
F0134,2023.2.10,"January 28, 2023",Suspension Menu,Undocumented Change,7,702,E08,,"HW3,HW4",,2022-12-03,2023-01-20,2023-01-28,released,"HW3,HW4"
F0135,2023.20,"May 26, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-04-02,2023-05-12,2023-05-26,released,"HW3,HW4"
F0136,2023.20,"May 26, 2023",Tire Service Mileage,New Feature,3,302,E04,,"HW3,HW4",,2023-04-02,2023-05-12,2023-05-26,released,"HW3,HW4"
F0137,2023.20,"May 26, 2023",Windshield Wiper Control,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-01,2023-05-12,2023-05-26,released,"HW3,HW4"
F0138,2023.20,"May 26, 2023",Phone Key,Undocumented Change,6,602,E06,,"HW3,HW4",,2023-04-07,2023-05-15,2023-05-26,released,"HW3,HW4"
F0139,2023.20,"May 26, 2023",New Data Sharing Policy,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-02,2023-05-12,2023-05-26,released,"HW3,HW4"
F0140,2023.20.4.1,"June 9, 2023",Tire Service,New Feature,3,302,E04,,"HW3,HW4",,2023-04-24,2023-05-26,2023-06-09,released,"HW3,HW4"
F0141,2023.20.4.1,"June 9, 2023",Tire Service Mileage,New Feature,3,302,E04,,"HW3,HW4",,2023-04-25,2023-05-29,2023-06-09,released,"HW3,HW4"
F0142,2023.20.4.1,"June 9, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-04-14,2023-06-01,2023-06-09,released,"HW3,HW4"
F0143,2023.20.4.1,"June 9, 2023",Pinyin Keyboard,New Feature,6,601,E06,,"HW3,HW4",,2023-04-25,2023-05-27,2023-06-09,released,"HW3,HW4"
F0144,2023.20.4.1,"June 9, 2023",Windshield Wiper Control,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-27,2023-05-27,2023-06-09,released,"HW3,HW4"
F0145,2023.20.4.1,"June 9, 2023",Phone Key,Undocumented Change,6,602,E06,,"HW3,HW4",,2023-04-20,2023-05-26,2023-06-09,released,"HW3,HW4"
F0146,2023.20.4.1,"June 9, 2023",New Data Sharing Policy,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-25,2023-05-27,2023-06-09,released,"HW3,HW4"
F0147,2023.20.4.1,"June 9, 2023",Navigation Improvements,Undocumented Change,4,403,E05,,"HW3,HW4",,2023-04-15,2023-05-27,2023-06-09,released,"HW3,HW4"
F0148,2023.20.4.1,"June 9, 2023",Set PIN to Drive,Undocumented Change,2,201,E03,,"HW3,HW4",,2023-04-23,2023-05-29,2023-06-09,released,"HW3,HW4"
F0149,2023.20.4.1,"June 9, 2023",View All Cameras,Undocumented Change,7,703,E08,,"HW3,HW4",,2023-04-20,2023-05-30,2023-06-09,released,"HW3,HW4"
F0150,2023.20.4.1,"June 9, 2023",Current Trip Odometer,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-24,2023-05-27,2023-06-09,released,"HW3,HW4"
F0151,2023.20.4.1,"June 9, 2023",Passenger Climate Temperature,Undocumented Change,3,302,E04,,"HW3,HW4",,2023-04-22,2023-05-28,2023-06-09,released,"HW3,HW4"
F0152,2023.20.4.1,"June 9, 2023",FSD Beta?,Undocumented Change,1,104,E02,,"HW3,HW4",,2023-04-15,2023-05-26,2023-06-09,released,"HW3,HW4"
F0153,2023.20.6,"June 23, 2023",Full Self-Driving (Beta),New Feature,1,104,E01,,"HW3,HW4",,2023-04-28,2023-06-10,2023-06-23,released,"HW3,HW4"
F0154,2023.20.6,"June 23, 2023",FSD Beta v11.3.6,New Feature,1,104,E02,,"HW3,HW4",,2023-05-11,2023-06-10,2023-06-23,released,"HW3,HW4"
F0155,2023.20.6,"June 23, 2023",Full Self-Driving (Beta) Suspension,New Feature,1,104,E01,,"HW3,HW4",,2023-05-10,2023-06-16,2023-06-23,released,"HW3,HW4"
F0156,2023.20.6,"June 23, 2023",Tire Service,New Feature,3,302,E04,,"HW3,HW4",,2023-05-07,2023-06-13,2023-06-23,released,"HW3,HW4"
F0157,2023.20.6,"June 23, 2023",Tire Service Mileage,New Feature,3,302,E04,,"HW3,HW4",,2023-05-07,2023-06-10,2023-06-23,released,"HW3,HW4"
F0158,2023.20.6,"June 23, 2023",Text Size,New Feature,3,303,E09,,"HW3,HW4",,2023-05-08,2023-06-15,2023-06-23,released,"HW3,HW4"
F0159,2023.20.6,"June 23, 2023",Pinyin Keyboard,New Feature,6,601,E06,,"HW3,HW4",,2023-05-01,2023-06-16,2023-06-23,released,"HW3,HW4"
